"SeriesCode","Year","DESCRIPTION",
"SP.DYN.AMRT.MA","YR1984","Interpolated using data for 1982 and 1987, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1985","Interpolated using data for 1982 and 1987, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1985","Interpolated using data for 1982 and 1987, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1986","Interpolated using data for 1982 and 1987, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1986","Interpolated using data for 1982 and 1987, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1987","The data refer to 1985-1990, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1987","The data refer to 1985-1990, if the data source is United Nations World Population Prospects.",
"SP.POP.BRTH.MF","YR1987","The data refer to 1985-1990.",
"SM.POP.NETM","YR1987","The data refer to five-year periods running from 1 July, 1985 to 30 June, 1990.",
"SP.DYN.AMRT.FE","YR1988","Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1988","Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1989","Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1989","Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1990","Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1990","Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects.",
"SP.POP.BRTH.MF","YR1990","Interpolated using data for 1987 and 1992.",
"SP.DYN.AMRT.MA","YR1991","Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1991","Interpolated using data for 1987 and 1992, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1992","The data refer to 1990-1995, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1992","The data refer to 1990-1995, if the data source is United Nations World Population Prospects.",
"SP.POP.BRTH.MF","YR1992","The data refer to 1990-1995.",
"SM.POP.NETM","YR1992","The data refer to five-year periods running from 1 July, 1990 to 30 June, 1995.",
"SP.DYN.AMRT.MA","YR1993","Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1993","Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1994","Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1994","Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1995","Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1995","Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1996","Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1996","Interpolated using data for 1992 and 1997, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1997","The data refer to 1995-2000, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1997","The data refer to 1995-2000, if the data source is United Nations World Population Prospects.",
"SM.POP.NETM","YR1997","The data refer to five-year periods running from 1 July, 1995 to 30 June,2000.",
"SP.POP.BRTH.MF","YR1997","The data refer to 1995-2000.",
"SP.DYN.AMRT.FE","YR1998","Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1998","Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR1999","Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR1999","Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR2000","Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2000","Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2001","Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR2001","Interpolated using data for 1997 and 2002, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR2002","The data refer to 2000-2005, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2002","The data refer to 2000-2005, if the data source is United Nations World Population Prospects.",
"SP.POP.BRTH.MF","YR2002","The data refer to 2000-2005.",
"SM.POP.NETM","YR2002","The data refer to five-year periods running from 1 July, 2000 to 30 June, 2005.",
"SP.DYN.AMRT.MA","YR2003","Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR2003","Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR2004","Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2004","Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2005","Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects.",
